Term,DocID,Positions
explain,7,"[0, 133, 168, 207, 214, 228, 242, 250, 278, 299, 345, 772, 783, 827, 887, 948, 1000, 1028, 1037, 1061, 1078, 1108, 1118, 1178, 1212, 1237, 1262, 1335, 1439, 1459, 1486, 1520, 1551, 1609, 1706, 1713, 1714, 1944, 1955, 1972, 2058, 2072, 2164, 2193, 2206, 2220, 2235, 2264, 2293, 2377, 2380, 2390, 2395, 2407, 2422, 2431, 2483, 2495, 2721, 2763, 2780, 2793, 2809, 2914, 2929, 2935, 2948, 2971, 2982, 2998, 3020, 3037, 3048, 3123, 3188, 3248, 3258, 3268, 3285, 3336, 3384, 3400, 3446, 3461, 3473, 3510, 3527, 3546, 3591, 3658, 3709, 3719, 3730, 3746, 3773, 3795, 4073, 4092, 4287, 4298, 4304, 4347, 4418, 4457, 4467, 4500, 4550, 4577, 4608, 4645, 4696, 4741, 4883, 4942, 4976, 4983, 5003, 5112, 5179, 5442, 6061, 6129, 6188, 6366, 6373, 6526, 6542, 6899, 6907, 6934, 6940, 6945, 6971, 7003, 7019, 7036, 7043, 7059, 7178, 7182, 7315, 7357, 7654, 7718, 7750, 7977, 7991, 8102, 8172, 8186, 8240, 8273, 8275, 8341, 8343, 8420, 8525, 8618, 8711, 8780, 8849, 8934, 9228, 9341, 9358, 9476, 9504, 9533, 9546, 9551, 9612, 9627, 9637, 9715, 9779, 9861, 10019, 10022, 10692, 10821, 10824, 10904, 11004, 11013, 11025, 11211, 11289, 11420, 11507, 11549, 11609, 11615, 11662, 11705, 11727, 11748, 12038, 12126, 12133, 12165, 12191, 12213, 12467, 12558, 12604, 12642, 12656, 12739, 12770, 12820, 12922, 12942, 12946, 13086, 13121, 13214, 13297, 13533, 13546, 13724, 13969, 14109, 14333, 14354, 14406, 14437, 14453, 14520, 14674, 14752, 14803, 14996, 15064, 15256, 15412, 15666, 16356, 16374, 16395, 16487, 16987, 17071, 17993, 18070, 18092, 18159, 18297, 18332, 18507, 18628, 18738, 18801, 18883, 19215, 19246, 19271, 19322, 19347, 19429, 19714, 19718, 19734, 19748, 19766, 19806, 19820, 19837, 19856, 19876, 19908, 19966, 20036, 20066, 20084, 20093, 20213, 20308, 20377, 20513, 20526, 20543, 20567, 20585, 20972, 20985, 20998, 21015, 21799, 21993, 22149, 23005, 23055, 23072, 23125, 23150, 23279, 23554, 23872, 23892, 23905, 23966, 24188, 24346, 24370, 24408, 24449, 24575, 24760, 24804, 24828, 24858, 24872, 24879, 24980, 24984, 24993, 25174, 25437, 25661]"
explain,8,"[2694, 3636]"
explain,9,[1086]
artifici,1,"[4, 49, 139, 185, 484, 541, 7563, 7588, 7616, 8012, 8069, 8184, 8204, 8253, 8312, 8339, 8401, 8407, 8415, 8587, 8596, 8656, 8925, 8931, 9089, 9281, 9441, 9533, 9625]"
artifici,12,"[4616, 6684, 11855, 11879, 11960, 12182]"
artifici,23,[387]
artifici,25,[3389]
artifici,8,"[31, 80, 157, 218, 379, 915, 1750, 2141, 3263, 3296, 3438, 3452, 3559, 3570, 3603, 3738, 3776, 3846, 3861, 4035, 4346, 4366, 4405]"
intellig,1,"[5, 50, 186, 221, 345, 395, 485, 542, 6087, 7215, 7564, 7617, 7728, 7809, 7914, 7972, 8013, 8070, 8185, 8191, 8254, 8313, 8340, 8402, 8408, 8416, 8588, 8597, 8623, 8657, 8729, 8819, 8834, 8926, 8932, 9252, 9282, 9442, 9534, 9626]"
intellig,15,"[1212, 4542, 6573, 7324]"
intellig,16,"[4499, 4693, 7080, 7566, 9645]"
intellig,17,[5578]
intellig,2,"[7, 167, 179, 210, 240, 376, 618, 1380, 2037, 2722, 3374, 4107, 4740, 4937, 5395, 5468, 5746, 5775, 6061]"
intellig,21,"[37, 1995]"
intellig,23,"[1991, 2035]"
intellig,24,"[2563, 2612, 2636, 2680, 2711, 2877, 3007]"
intellig,25,"[3343, 3359, 3390, 3502, 3522]"
intellig,26,[7359]
intellig,3,"[149, 298, 299, 320, 378, 809, 2289, 2343, 2484, 2550, 2568, 2584, 2613]"
intellig,7,"[3, 77, 90, 104, 287, 348, 364, 387, 415, 805, 825, 980, 1222, 1409, 1594, 1842, 1975, 2000, 2075, 2434, 4082, 13037, 14843, 14925, 14953, 16555, 19218, 19669, 19721, 19737, 19759, 19769, 19793, 19823, 19911, 19918, 19999, 20096, 20154, 20270, 20311, 20384, 20385, 20528, 20535, 20892, 20983, 21025, 21048, 21136, 21265, 21529, 21636, 21932, 22173, 22409, 22607, 22673, 22725, 22947, 23146, 23321, 23381, 23467, 24124, 24275, 24882, 24895, 24907, 25428, 25500, 25525, 25705, 25871, 25888]"
intellig,8,"[32, 158, 219, 380, 633, 1731, 1751, 3264, 3297, 3439, 3442, 3453, 3560, 3571, 3604, 3739, 3777, 3862, 4036, 4347, 4367]"
roberto,1,"[6, 35, 7268, 7300]"
confalonieri,1,"[7, 36, 783, 811, 1648, 1955, 2703, 3523, 4492, 4975, 5414, 5977, 6356, 6900, 6903, 7269, 7301, 7345, 7819, 7957, 7996, 8014, 8052, 8349, 9395, 9423, 9617]"
ludovik,1,"[8, 7278]"
coba,1,"[9, 1439, 4825, 4865, 4869, 4971, 7279, 7898, 7925, 7936, 9618]"
benedikt,1,"[10, 7285]"
wagner,1,"[11, 7286, 9619]"
wagner,7,[21775]
tarek,1,"[12, 7292, 7302]"
besold,1,"[13, 399, 5051, 5180, 5243, 7294, 7303, 7651, 7669, 7958, 8054, 8119, 8283, 9001, 9620]"
besold,7,[19963]
faculti,1,"[14, 37]"
faculti,16,[418]
faculti,17,"[10, 6047]"
faculti,26,"[7258, 7406]"
comput,1,"[15, 780, 1025, 3061, 3942, 4287, 7665, 7703, 7988, 8095, 8171, 8190, 8321, 8389, 8493, 8512, 8695, 8737, 8766, 8973, 9167, 9367]"
comput,12,"[3439, 3456, 3996, 5558, 6373, 7509, 7821, 8785, 8816, 8831, 8862, 9172, 9495, 10710, 11178, 12233, 13765]"
comput,13,"[2754, 3752]"
comput,14,"[2754, 3752]"
comput,15,"[1794, 2889, 3332, 4061, 4072, 4541, 5383, 6032, 6428, 6565, 6648, 6756, 6857]"
comput,16,"[216, 287, 429, 468, 1030, 1508, 1529, 1897, 1908, 1928, 1974, 2321, 2525, 2690, 2722, 2762, 2853, 2914, 3084, 3114, 3139, 3182, 3410, 3850, 3933, 3989, 4355, 4398, 4416, 4470, 4514, 4622, 4850, 5302, 5597, 5638, 5834, 5997, 6077, 6204, 6315, 6352, 6422, 6575, 6672, 6801, 7043, 7091, 7351, 7426, 7548, 7565, 7611, 7639, 7689, 7878, 7953, 8015, 8082, 8109, 8187, 8335, 8359, 8635, 8656, 8780, 8847, 8922, 8941, 9139, 9188, 9227, 9253, 9417, 9459, 9519, 9558, 9676]"
comput,17,"[712, 928, 932, 956, 979, 1484, 1709, 1748, 1821, 1832, 1867, 1881, 1887, 1944, 1953]"
comput,18,"[7, 1116, 2861, 3065, 3327]"
comput,2,"[63, 260, 2126, 2158, 2483, 2701, 2911, 3153, 3291, 3968, 4347, 4363, 4406, 4588, 4758, 4775, 4809, 4833, 4923, 4985, 5291, 5387, 5416, 5550, 5569, 5629, 5653, 5670, 5816, 5857, 6054, 6100, 6118, 6143]"
comput,21,"[61, 215, 1333, 1577, 1788, 1815, 2732, 4383, 4406, 5336]"
comput,22,"[140, 236, 425, 522, 924, 1581, 2560, 4403, 5174, 5188, 8054, 8955, 9553, 9825, 10113, 10830, 11151, 11350]"
comput,23,"[8, 43, 242, 792, 1330, 1344, 1962, 2048]"
comput,24,"[1, 106, 114, 207, 435, 852, 917, 1341, 1691, 2056, 2313, 2694, 2884, 2892, 2957]"
comput,25,"[27, 38, 42, 160, 209, 237, 242, 391, 486, 505, 1345, 1364, 1619, 2411, 2471, 2484, 2534, 2815, 3202, 3206, 3530, 3556]"
comput,26,"[318, 333, 348, 4132, 4271, 4305, 6441, 6611, 6667, 7157, 7171, 7186, 7210, 7358, 7388, 7431, 7457, 7509, 7539, 7560]"
comput,3,"[121, 130, 1543, 1601, 2323, 2326, 2382, 2400, 2416, 2440, 2509, 2626]"
comput,7,"[89, 440, 1651, 4702, 5987, 6811, 9835, 9967, 10555, 12818, 13638, 14547, 17575, 17650, 17660, 18674, 19758, 19881, 19917, 19941, 19998, 20216, 20244, 20501, 20588, 20680, 20870, 20966, 21172, 21405, 21441, 21615, 21635, 21754, 21770, 21791, 21806, 21931, 22002, 22412, 22672, 22946, 23189, 23265, 23282, 23380, 23712, 23760, 23783, 23821, 23847, 24051, 24149, 24255, 24704, 25128, 25162, 25311, 25359, 25656, 25913, 25951, 26004]"
comput,8,"[58, 370, 480, 486, 523, 634, 660, 937, 986, 998, 1302, 3245, 3540, 3800, 4490]"
scienc,1,"[16, 39, 779, 781, 830, 842, 1026, 7983, 8149, 8172, 8348, 8815, 8930]"
scienc,11,"[764, 795]"
scienc,12,"[1666, 9158, 9441, 9461, 9561, 11338, 12131, 12535, 13933]"
scienc,13,[4840]
scienc,14,[4840]
scienc,16,"[398, 420, 427, 441, 470, 1032, 1510, 1531, 1899, 2323, 2764, 3086, 3412, 3852, 4357, 4852, 5304, 5836, 5950, 6577, 7099, 7428, 7880, 7954, 8017, 8337, 8386, 8637, 9255, 9678]"
scienc,17,[5447]
scienc,2,"[51, 261, 271, 474, 1424, 1513, 4348, 4407, 4570, 4834, 4924, 5146, 5388, 5472, 5551, 5654, 6055]"
scienc,22,[237]
scienc,23,"[9, 243, 1865, 1949]"
scienc,24,"[2, 42, 46, 54, 57, 69, 436, 918, 1342, 1692, 2057, 2314, 2392, 2885]"
scienc,25,"[243, 3557]"
scienc,26,"[284, 319, 349, 6933, 7158, 7172, 7187, 7227, 7232, 7401, 7432, 7458, 7540]"
scienc,3,"[122, 131, 205, 2082]"
scienc,7,"[88, 813, 2627, 4994, 13075, 13355, 14004, 14100, 14131, 14169, 14179, 14186, 14308, 14319, 14344, 15389, 19784, 19797, 19942, 19978, 20303, 22122, 22243, 22517, 22547, 22660, 22700, 22967, 23506, 24915, 25187, 25232, 25256, 25675]"
scienc,8,[371]
scienc,9,"[1545, 1567]"
free,1,"[17, 40, 7382]"
free,12,[2784]
free,17,[5237]
univers,1,"[18, 27, 41, 7249]"
univers,11,"[470, 765, 803]"
univers,12,"[12, 23, 11248, 11312, 11901, 12602, 12771, 13889]"
univers,13,[4675]
univers,14,[4675]
univers,15,"[618, 1337, 1406, 1949, 2639, 3340, 3951, 4406, 4811, 5404, 5987, 6783, 7339]"
univers,16,"[405, 421, 448, 467, 678, 1029, 1507, 1528, 1896, 2320, 2761, 3083, 3409, 3849, 4354, 4849, 5301, 5833, 5952, 6574, 7425, 8334, 9252, 9675]"
univers,17,"[9, 5581, 6051]"
univers,18,[2706]
univers,2,"[26, 4181]"
univers,21,"[41, 2426, 3819, 4682, 5789]"
univers,22,"[15, 11203, 11842]"
univers,23,"[12, 246, 475, 942, 1250, 1694, 2061]"
univers,24,[43]
univers,25,"[247, 475, 961, 1637, 2099, 2549, 3152, 3212, 3425, 3560, 3580]"
univers,26,"[321, 338, 352, 679, 1329, 1973, 2584, 3125, 3735, 4422, 4968, 5321, 5435, 5799, 6184, 6643, 7161, 7179, 7189, 7243, 7249, 7264, 7420, 7447, 7461, 7477, 7504, 7516, 7526, 7566]"
univers,3,"[125, 134]"
univers,7,"[91, 14816, 20012, 20101, 21687, 22067, 22708, 24138, 24560]"
univers,8,"[267, 272, 359, 364, 375]"
univers,9,"[1936, 2269, 2287, 2297, 2307]"
bozenbolzano,1,"[19, 20, 44, 7252]"
itali,1,[21]
itali,15,[6999]
itali,23,[2022]
itali,25,[3405]
research,1,"[22, 56, 112, 764, 837, 934, 1370, 7248, 7647, 7725, 7863, 7892, 8277, 9054]"
research,11,[755]
research,12,"[30, 104, 169, 636, 1769, 3002, 3849, 4185, 4601, 4780, 5908, 5952, 6076, 6123, 6399, 6434, 7088, 7170, 7760, 7931, 8009, 8032, 8084, 8160, 8176, 8234, 8334, 8345, 8402, 8412, 8464, 8587, 8599, 8649, 8690, 8701, 8777, 8837, 8918, 8964, 9188, 9283, 11866, 12743, 13168, 13692, 13719, 13725, 13739, 13779, 13941]"
research,13,"[1375, 4600, 4949]"
research,14,"[1375, 4600, 4949]"
research,15,"[306, 579, 642, 3277, 5853, 6699, 7266, 7306]"
research,16,"[28, 138, 148, 331, 548, 582, 601, 643, 2649, 3868, 4428, 4889, 5058, 5084, 5322, 5780, 5818, 5968, 6655]"
research,17,"[57, 207, 4754, 5370, 5441]"
research,18,"[358, 413, 461, 486, 1907, 1964, 2011, 2079, 2378, 3188]"
research,2,"[509, 1530, 1729, 1795, 3912, 4132, 4146, 4267, 4328, 4513, 4893]"
research,21,"[181, 595, 1663, 2838, 3645, 3738, 3748, 4330, 4746]"
research,22,"[60, 73, 108, 2645, 6986, 8497, 9101, 9109, 10341]"
research,24,"[112, 880, 2411, 2544]"
research,25,"[515, 3475]"
research,26,"[138, 311, 7004, 7200, 7222, 7305, 7434, 7467, 7552]"
research,3,"[20, 86, 105, 235, 280, 326, 373, 469, 637, 784, 2089, 2221, 2248, 2461]"
research,7,"[320, 892, 909, 965, 1023, 1172, 1182, 1422, 2374, 2526, 2577, 2618, 2705, 2767, 4370, 5000, 6737, 7116, 11624, 12021, 12063, 12068, 12206, 12240, 12575, 13471, 13527, 13790, 13905, 14000, 15362, 15377, 17113, 17116, 19557, 19612, 19727, 19862, 20843, 21159, 22271, 22381, 22566, 22999, 23080, 24937, 25514]"
research,8,"[99, 535, 553, 1273, 1318, 2394, 2895, 3207, 3283]"
research,9,"[221, 1184, 1604]"
centr,1,[23]
centr,2,[4271]
machin,1,"[24, 117, 194, 506, 573, 638, 1044, 1193, 1581, 2637, 2641, 2656, 2756, 2780, 2786, 3067, 3082, 3440, 5867, 6157, 6166, 6422, 6600, 6642, 6650, 7096, 7406, 7418, 7437, 7668, 7692, 7786, 7973, 8151, 8207, 8215, 8327, 8561, 8615, 8723, 8800, 8878, 8942, 8948, 8955, 9003, 9010, 9022, 9033, 9083, 9092, 9195, 9393]"
machin,13,"[47, 100, 4593, 4947, 4974]"
machin,14,"[47, 100, 4593, 4947, 4974]"
machin,15,"[218, 300, 1068, 1091, 1237, 3073, 3128, 3270, 6608, 6624, 6657, 7261]"
machin,16,"[53, 529, 1732, 2090, 2185, 4579, 4680, 4692, 6033, 6061, 6451, 6463, 6492, 6544, 6687, 6868, 6911, 7113, 9274, 9570]"
machin,17,"[26, 103, 109, 235, 329, 437, 459, 718, 3747, 3901, 4872, 5353, 5475, 5626, 5653, 5818, 5847, 5873]"
machin,18,"[112, 610, 704, 2354, 2809, 2851, 3371]"
machin,2,"[44, 183, 236, 632, 751, 1585, 2117, 2798, 3113, 4274, 4326, 4422, 4510, 4518, 4591, 5115, 5132, 5189, 5215, 5249, 5271, 5609, 5997]"
machin,21,"[2461, 4350, 4744]"
machin,22,"[10225, 10784, 10896, 11493, 12348]"
machin,23,[2034]
machin,24,"[166, 186, 201, 242, 516, 565, 2210, 2409, 2424, 2458, 2542, 2611, 2635, 2662, 2710, 2726, 2727, 2738, 2748, 2775, 2785, 2794, 2948, 2964]"
machin,25,"[3275, 3342, 3358, 3401, 3501]"
machin,26,"[140, 2050, 5031, 6748, 7002, 7068, 7205, 7437, 7470, 7557]"
machin,3,"[152, 160, 268, 300, 541, 623, 2058, 2150, 2459, 2469, 2573]"
machin,7,"[126, 208, 215, 244, 349, 416, 558, 1984, 3911, 4300, 4780, 5391, 8335, 8825, 13034, 13413, 13844, 14614, 19785, 19811, 19832, 19948, 19980, 19988, 20000, 20110, 20218, 20224, 20498, 20590, 20617, 20673, 20692, 20749, 21004, 21083, 21112, 21132, 21155, 21199, 21223, 21264, 21304, 21325, 21365, 21369, 21492, 21628, 21637, 21649, 21671, 21729, 21900, 22013, 22025, 22053, 22311, 22317, 22463, 22927, 22997, 23078, 23110, 23204, 23284, 23296, 23307, 23328, 23346, 23352, 23359, 23398, 23432, 23581, 24155, 24843, 25020, 25032, 25049, 25057, 25182, 25206, 25280, 25440, 25625, 25690, 25868, 25910]"
machin,8,"[51, 159, 516, 636, 894, 1081, 1122, 1154, 1182, 1756, 2135, 2682, 3252, 3298, 3365, 3465, 3483, 3503, 3530, 3736, 3999, 4126, 4153, 4179, 4197, 4235, 4256, 4289, 4451, 4470]"
learn,1,"[25, 118, 124, 195, 507, 531, 574, 576, 639, 643, 721, 1045, 1194, 1582, 2638, 2642, 2657, 2781, 2787, 3068, 3083, 3441, 3842, 4398, 4876, 4879, 4887, 5105, 5113, 5129, 5142, 5156, 5229, 5260, 5300, 5316, 5341, 5365, 5375, 5529, 5868, 6158, 6167, 6423, 6601, 6651, 6830, 7097, 7101, 7407, 7419, 7430, 7451, 7603, 7677, 7693, 7787, 7850, 8152, 8198, 8208, 8268, 8291, 8328, 8336, 8562, 8616, 8724, 8783, 8794, 8801, 8811, 8879, 8890, 8943, 8949, 8956, 9004, 9007, 9011, 9023, 9034, 9093, 9196, 9287, 9343, 9358, 9394, 9562]"
learn,13,"[8, 48, 98, 101, 153, 163, 174, 2233, 3753, 4594, 4948]"
learn,14,"[8, 48, 98, 101, 153, 163, 174, 2233, 3753, 4594, 4948]"
learn,15,"[4, 123, 219, 521, 1067, 1238, 1351, 2653, 3074, 3129, 3271, 3311, 3318, 3965, 4825, 6001, 6042, 6513, 6548, 6609, 6623, 6738, 6877, 7262, 7312]"
learn,16,"[3, 54, 79, 130, 168, 264, 275, 289, 328, 353, 530, 554, 645, 656, 762, 777, 786, 1500, 1753, 1783, 1834, 1889, 2031, 2404, 2754, 3047, 3154, 3402, 3512, 3699, 3952, 4002, 4147, 4331, 4347, 4389, 4580, 4681, 4964, 5099, 5294, 5785, 6034, 6062, 6064, 6086, 6152, 6164, 6196, 6308, 6332, 6467, 6472, 6493, 6519, 6534, 6545, 6559, 6567, 6590, 6610, 6639, 6652, 6688, 6744, 6752, 6764, 6775, 6785, 6865, 6869, 6896, 6912, 6990, 7073, 7114, 7121, 7178, 7541, 7556, 7568, 7685, 7746, 7765, 7781, 7812, 7829, 7908, 7927, 7937, 7965, 7995, 8046, 8077, 8081, 8107, 8115, 8209, 8277, 8327, 8462, 8498, 8501, 8551, 8605, 8667, 8736, 8750, 8772, 8861, 8930, 8951, 8975, 9040, 9052, 9082, 9114, 9155, 9183, 9197, 9265, 9285, 9308, 9434, 9451, 9468, 9481, 9496, 9513, 9532, 9544, 9555, 9567, 9582, 9599, 9668]"
learn,17,"[80, 295, 438, 658, 1162, 1617, 1718, 2031, 2767, 2864, 3223, 3318, 3381, 3383, 3385, 3387, 3389, 3393, 3468, 3475, 3577, 3587, 3604, 3616, 3622, 3689, 3710, 3720, 3727, 3817, 4011, 4093, 4112, 4138, 4160, 4202, 4246, 4358, 4400, 4405, 4436, 4454, 4473, 4480, 4508, 4536, 4541, 4546, 4566, 4670, 4718, 4735, 4745, 4771, 4797, 4829, 4923, 4983, 5013, 5084, 5479, 5654, 5789, 5892, 5917, 5932]"
learn,18,"[113, 611, 705, 2355, 2576, 2697, 2898, 3079, 3254]"
learn,2,"[45, 84, 138, 160, 171, 184, 237, 257, 291, 326, 633, 752, 849, 1023, 1305, 1484, 1668, 1914, 1929, 1965, 1973, 1998, 2006, 2015, 2171, 2223, 2799, 2966, 2972, 3114, 3329, 3808, 4275, 4327, 4344, 4403, 4423, 4511, 4523, 4791, 4830, 4872, 4920, 5065, 5081, 5092, 5116, 5133, 5190, 5218, 5225, 5250, 5272, 5344, 5367, 5384, 5413, 5547, 5610, 5641, 5650, 5761, 5766, 5781, 5871, 5998, 6015, 6051, 6140, 6167]"
learn,21,"[196, 363, 412, 705, 855, 1133, 1150, 1167, 2067, 2567, 2988, 3231, 3935, 4375, 4514, 4544, 4566, 4745, 4789, 4900, 5045, 5355, 5546, 5832]"
learn,22,"[361, 421, 446, 722, 783, 791, 821, 831, 840, 855, 896, 933, 945, 1058, 1288, 2552, 3733, 4112, 4288, 4686, 4782, 4798, 4829, 4842, 5430, 5456, 5460, 5468, 6959, 7040, 7486, 7539, 7830, 7896, 7905, 10226, 10710, 10785, 10810, 10846, 10860, 10897, 10999, 11131, 11183, 11197, 11494, 11584, 11631, 12185, 12187, 12294, 12360]"
learn,23,[695]
learn,24,"[99, 103, 150, 167, 187, 202, 254, 260, 507, 563, 566, 1565, 1577, 1589, 1643, 1885, 2211, 2410, 2419, 2425, 2540, 2543, 2556, 2663, 2728, 2776, 2795, 2814, 2866, 2921, 2949, 2965]"
learn,25,"[264, 1554, 2817, 3402, 3462]"
learn,26,"[4, 60, 123, 141, 555, 563, 647, 651, 696, 712, 746, 817, 844, 922, 1002, 1343, 1378, 1386, 1463, 1552, 1876, 1934, 1958, 2041, 2048, 2051, 2082, 2598, 3749, 4027, 4982, 5449, 6198, 6498, 6552, 6749, 6779, 6832, 6841, 6851, 6913, 6961, 6973, 6984, 7003, 7206, 7311, 7438, 7471, 7491, 7558]"
learn,3,"[140, 153, 162, 269, 276, 301, 474, 542, 583, 588, 614, 624, 968, 1031, 1324, 1380, 1681, 1693, 2059, 2077, 2142, 2151, 2272, 2460, 2470, 2490, 2529, 2574]"
learn,7,"[127, 209, 216, 245, 252, 350, 352, 419, 436, 515, 525, 559, 789, 1129, 1140, 1187, 1630, 1634, 1985, 3107, 3637, 3912, 4301, 4461, 4781, 5181, 5489, 6045, 6269, 6271, 6282, 6377, 6910, 6916, 7080, 7152, 7368, 7698, 8092, 8185, 8284, 8309, 8800, 9535, 9725, 9988, 10043, 10285, 10422, 10625, 10882, 10922, 10997, 11019, 11090, 11102, 11230, 11243, 11407, 11492, 11618, 11831, 11869, 11884, 12167, 12552, 12553, 12924, 13035, 13276, 13414, 13599, 13734, 13783, 14163, 14274, 16158, 16686, 17035, 17081, 17252, 17358, 17496, 17498, 17505, 17517, 17545, 17574, 17597, 17648, 17666, 17690, 17697, 18109, 18121, 18132, 18462, 18568, 18703, 18708, 19324, 19350, 19431, 19786, 19812, 19833, 19947, 19949, 19981, 19989, 20001, 20111, 20205, 20219, 20225, 20316, 20326, 20341, 20346, 20565, 20580, 20591, 20618, 20674, 20731, 20750, 21005, 21084, 21165, 21224, 21370, 21383, 21638, 21645, 21661, 21672, 21679, 21798, 21819, 21901, 21947, 22014, 22026, 22054, 22083, 22190, 22213, 22312, 22318, 22464, 22768, 22843, 22998, 23079, 23111, 23182, 23205, 23285, 23292, 23353, 23433, 23564, 23582, 23613, 23635, 23688, 23692, 23865, 23898, 24012, 24029, 24156, 24208, 24262, 24335, 24341, 24359, 24377, 24451, 24723, 24741, 24757, 24844, 24902, 24921, 24987, 25011, 25021, 25050, 25058, 25146, 25176, 25183, 25281, 25372, 25389, 25441, 25564, 25620, 25626, 25636, 25691, 25869, 25880, 25900, 25911, 25932, 26035, 26050]"
learn,8,"[52, 75, 160, 162, 493, 517, 629, 671, 792, 1082, 1084, 1110, 1149, 1151, 1155, 1738, 1757, 2136, 3253, 3255, 3299, 3366, 3370, 3466, 3484, 3504, 3531, 3533, 3639, 3674, 3700, 3737, 3753, 3890, 3933, 4000, 4127, 4154, 4180, 4198, 4236, 4290, 4302, 4328, 4452, 4471]"
learn,9,[389]
citi,1,[26]
citi,7,"[6396, 6437, 6478, 24325, 25835]"
london,1,[28]
london,11,[833]
london,12,"[10531, 10737, 11928, 12175]"
london,7,[22696]
london,9,"[1547, 1569, 1591]"
uk,1,[29]
uk,11,"[810, 1021]"
uk,12,"[9195, 10068, 10896, 11117, 12251]"
uk,13,[4738]
uk,14,[4738]
uk,16,"[6021, 6112, 6212, 9190]"
neurocat,1,[30]
gmbh,1,[31]
gmbh,3,[114]
berlin,1,[32]
berlin,17,"[5640, 5642, 5883]"
berlin,2,"[16, 22, 23, 4268, 4272, 5202]"
germani,1,[33]
germani,13,[3418]
germani,14,[3418]
germani,17,[5884]
germani,2,"[24, 38]"
germani,3,[115]
correspond,1,"[34, 1216, 1931, 2542, 3871]"
correspond,11,[787]
correspond,12,"[267, 1049, 7545]"
correspond,13,[23]
correspond,14,[23]
correspond,15,"[3439, 4308, 5183]"
correspond,16,"[437, 1965, 2890, 3446]"
correspond,17,"[858, 6038]"
correspond,18,[1235]
correspond,21,"[183, 1534]"
correspond,22,"[3789, 3932, 4391, 4945, 7851, 8670, 8690]"
