Term,Frequency,PostingList
abl,15,"{'1': [172, 382, 899, 1056, 1241, 1277, 1290, 1575, 1846, 4904, 5731, 6061, 6089, 6233, 6456, 6858, 6925], '15': [133, 5931, 7119], '16': [3964, 3999], '17': [1843, 3613, 4424, 4434], '18': [1925, 2054, 2070, 2294, 2347], '2': [68, 456, 830, 1238, 3737], '21': [2566, 3577], '22': [535, 5037, 7986, 9389], '24': [798], '25': [2304, 2619], '26': [5966, 6600], '3': [790, 1095, 2050, 2114, 2125], '7': [584, 3322, 3641, 5216, 5469, 6419, 8195, 10983, 11241, 12846, 12940, 13545, 13554, 24981], '8': [639, 1037], '9': [1833]}"
ablat,1,"{'21': [2906, 3754]}"
ablueprintforchangepdf,1,{'11': [861]}
abnorm,2,"{'3': [896], '9': [889]}"
abouelasaad,1,{'8': [4295]}
about,16,"{'1': [324, 462, 1212, 1551, 1870, 1919, 1982, 1989, 2744, 2776, 3178, 4093, 4112, 4273, 4446, 4775, 6300, 6831, 7007], '12': [218, 4145, 4458, 10703, 12887, 12946], '13': [172], '14': [172], '15': [5661], '16': [689, 707, 745, 833], '17': [289, 1117, 1502, 2128, 2187, 3072, 3637, 4456, 5069, 5231, 5377], '18': [733, 1773], '2': [109, 825, 1449, 1667, 1810, 1928, 2016, 2057, 2330, 2426], '21': [441, 1403, 3623, 3812], '22': [2668, 4175, 5777, 9188, 9425, 10005, 10150], '25': [981, 2513], '26': [901, 982, 5386, 6747], '7': [237, 1401, 2080, 3342, 3355, 3451, 3966, 4067, 4175, 6540, 6951, 7843, 8865, 10139, 10531, 10709, 11032, 13418, 13556, 14024, 14161, 14270, 15042, 15212, 16187, 16306, 16857, 17327, 17595, 17829, 17841, 18601, 18745, 18845, 19039, 19050, 19471, 22290, 23168], '8': [1244], '9': [571, 1326, 1372]}"
aboutth,1,{'1': [1891]}
abov,10,"{'1': [3929], '13': [2352, 2933], '14': [2352, 2933], '15': [1545, 2326], '21': [3392], '22': [6143], '24': [1184, 1790], '25': [217, 433], '26': [1003, 1673, 1764, 2218, 2306, 2385, 2687, 4524, 5780, 6032, 6232, 6247], '7': [1765, 2045, 2053, 4743, 5891, 6714, 10631, 13052, 13219, 14309, 14782, 16878, 18447, 18640, 18811, 19145]}"
abovement,1,{'15': [2686]}
abraham,2,"{'12': [562, 700, 9007, 9017, 9312], '15': [6420]}"
abranchandboundalgorithmforfeaturesubsetselect,1,{'22': [11369]}
abreast,1,{'12': [6433]}
absenc,3,"{'24': [863], '8': [2323], '9': [985]}"
absenceof,1,{'24': [366]}
absolut,8,"{'12': [5504, 5511, 6276, 6705, 6951, 6957, 6963, 6970, 6978, 6988, 6998, 7005, 7013, 7020, 13141], '13': [4322], '14': [4322], '15': [2005, 2011, 3945], '17': [4907], '21': [680, 759], '22': [12236], '7': [8075, 12977]}"
abstract,15,"{'1': [1645, 2160, 2237, 2361, 4924, 5047, 5078, 5088, 6898, 8650], '12': [26], '15': [20], '16': [20], '17': [19], '18': [66, 1111], '2': [41, 2005, 4047, 4064, 4100], '21': [51], '23': [19], '24': [72], '25': [23], '26': [27], '3': [138], '7': [98, 837, 7702], '9': [5]}"
abstractinfer,2,"{'13': [4171], '14': [4171]}"
abstractingwithcreditispermittedtocopyotherwis,1,{'22': [306]}
abundantli,1,{'16': [339]}
ac,5,"{'16': [3450], '18': [1547, 2428], '21': [970], '3': [2496], '8': [1613, 3344]}"
academ,4,"{'11': [756], '12': [12521], '24': [2842], '7': [9587, 22280]}"
academi,7,"{'13': [4839], '14': [4839], '2': [5145], '21': [19, 25], '24': [45, 56, 68], '7': [22121], '9': [2266]}"
academicpress,1,{'22': [10668]}
acc,4,"{'18': [2376], '2': [1393], '22': [9338], '24': [2031, 2041, 2060, 2174]}"
accel,1,{'21': [5646]}
acceler,4,"{'12': [4043], '16': [5637, 6654], '2': [5604], '7': [24338]}"
acceleratingdeepnetworktrain,1,{'17': [5745]}
accept,8,"{'1': [246, 356, 1478, 1998, 2038], '15': [289], '2': [129, 1315], '22': [1502, 8201, 8340, 8445, 8754, 12367], '26': [257, 3759], '3': [887], '7': [3766, 6759, 12879, 16888, 16925], '8': [253, 2486]}"
acceptanewfeatureitismotivatedbyadesiretocontrolthefalsediscoveryr,1,{'22': [8386]}
access,9,"{'1': [253, 5710, 5717, 5940, 7255], '11': [411, 471, 736, 835, 862], '16': [6189, 6551, 6564, 6596, 6709, 9294], '18': [2388, 2421, 2433], '2': [415, 558, 2750], '21': [1210, 4576], '24': [12, 417], '7': [3521, 7960, 13377, 13491, 13519, 14116, 14760, 15394, 17790, 17908, 17928, 19826, 24292, 25093], '8': [303, 1645]}"
accessibilityproduct,1,{'7': [2884]}
accn,1,{'24': [2076]}
accommod,4,"{'1': [2172], '12': [2595], '21': [131, 1466], '8': [724]}"
accommodatesth,1,{'1': [1813]}
accompani,3,"{'1': [218], '11': [305], '9': [994]}"
accomplish,1,{'7': [16006]}
accord,15,"{'1': [910, 2577, 6724, 6779], '11': [137], '12': [304, 335], '15': [4269, 4398], '16': [1247, 3892, 5681], '17': [1111, 1785, 3303, 5027], '18': [1258], '2': [3427, 3532, 3627], '22': [573, 958, 7249, 8502, 10301], '24': [484, 670, 1424], '25': [765, 869, 1499], '26': [2522, 2685, 3861, 3945, 6288, 6345], '3': [457], '7': [9850, 11999, 14222, 14974], '9': [547]}"
accordingli,3,"{'22': [1484], '26': [921, 5600], '7': [14247]}"
accordingtoheet,1,{'22': [2251]}
accordingtozhaoandliu,1,{'22': [2538]}
account,9,"{'1': [932, 2085, 2157, 2483, 3316, 3885, 4106, 4460, 6471, 6501, 6567, 7699, 8966, 9269], '12': [1935, 6789, 10054, 11613, 12037, 12696], '15': [6290], '16': [985, 2122, 3873], '17': [1931], '18': [1314, 1665], '21': [1496, 2492], '26': [2332, 2364], '7': [300, 360, 1245, 1839, 7355, 7864, 8453, 9311, 9331, 14398, 14475, 14825, 15056, 15484, 15560, 15605, 16732, 16734, 16907, 16980, 19099, 19451, 19510, 21221, 26072]}"
accounta,1,{'2': [4684]}
accountedfor,1,{'12': [7752]}
accountingearn,1,{'15': [407]}
accu,2,"{'22': [8400], '26': [5198]}"
accumul,4,"{'1': [3119, 3397], '15': [3647, 3705], '21': [1831], '8': [10, 202]}"
accumula,1,{'21': [1873]}
accur,18,"{'1': [1168, 1291, 3447, 4770, 8833], '11': [1], '12': [2173, 2382, 2556, 4595, 5990, 6251], '13': [3342], '14': [3342], '15': [1630, 2783, 3741], '16': [1216, 1749, 4441, 4947, 7342], '17': [5696], '18': [2065], '2': [3738], '21': [2496], '22': [12116], '24': [1591], '25': [273, 1269], '26': [2047, 4956], '7': [1730, 8359, 10529, 12290, 12361, 12438, 16630, 18772, 21047], '8': [6, 177, 445, 1312, 1840, 2524, 2587], '9': [568, 692]}"
accuraci,16,"{'1': [1141, 1267, 1281, 1615, 4371, 5545, 5551, 6228, 6254], '11': [307, 959], '12': [118, 339, 2965, 3075, 5975, 6441, 6445, 6593, 6802, 6923, 6935, 7107, 9330, 9897, 10039, 10372, 10514, 10553, 10620, 11056, 12499, 12826, 12866, 12919, 13023, 13029, 13055, 13084, 13116, 13153, 13323], '15': [1144, 1403, 3105, 3909, 3933, 5534, 7198, 7207], '16': [41, 309, 4619], '17': [4230], '18': [245], '22': [9288, 9337, 9891, 9893], '23': [112, 172, 1537, 1551, 1649], '24': [104, 2030, 2059, 2064, 2075, 2183], '25': [1274, 2887], '26': [36, 112, 243, 426, 598, 3527, 3560, 3799, 4950, 5001, 5005, 5068, 5177, 5186, 5188, 5282, 5301, 5308, 5341, 5365, 5377, 5379, 5390, 5409, 5425, 5475, 5570], '3': [548, 551, 580, 630, 1179, 1193, 1266, 1273], '7': [793, 6740, 7796, 7923, 7934, 8452, 8578, 10253, 11189, 11592, 12556, 12760, 13011, 22781, 24480, 25670], '8': [124, 589, 781, 1622, 1688, 2392, 3501], '9': [685]}"
accuracyand,1,{'1': [1671]}
accuracyrel,1,{'12': [2188]}
accurateforecast,1,{'12': [4935]}
accv,1,{'22': [10640]}
ace,1,"{'9': [2010, 2019]}"
achangeofsomehyp,1,{'17': [622]}
achiev,16,"{'1': [1319, 2066, 2181, 5079, 5676], '11': [540, 667, 742], '12': [2329, 4447], '15': [50, 785, 1223, 4688], '16': [39, 556, 3361, 4530], '17': [1015, 1036, 1060, 1390, 3837, 4667], '18': [1507, 2295], '2': [69, 605], '21': [53, 1757, 1810, 1920, 1976, 2382, 2403, 2601, 3096, 3193, 3410, 3617, 3635, 3897], '22': [842, 2911, 4605, 4838, 5841, 6570, 7050, 7328, 7987, 8005, 8818, 9110], '24': [1327], '25': [1601, 1896, 2851], '26': [2134], '3': [164, 2122, 2137], '7': [106, 431, 1949, 2778, 3019, 5071, 8024, 8894, 10635, 12031, 12110, 12921, 15220, 16056, 19428, 20322], '8': [1686, 2363]}"
achievegroupfeaturesparsitytheobjectivefunctionof,1,{'22': [4264]}
achievesbett,1,{'26': [109]}
achievinggreat,1,{'16': [354]}
achten,1,{'7': [25454]}
ackermann,1,{'8': [4496]}
acknowledg,8,"{'1': [3750, 7217], '12': [8981], '13': [3736], '14': [3736], '17': [5439], '2': [4258, 4281], '24': [2366], '7': [174, 3082, 6769, 16894, 19528, 19552]}"
acl,4,"{'17': [5611, 5631, 5850, 5864, 5881, 5886], '18': [2524, 2713, 2854, 3340], '2': [4465, 5631], '21': [4668, 5650]}"
aclweborg,1,"{'18': [2463, 3070]}"
acm,10,"{'1': [7644, 7765, 7860, 7868, 7889, 7922, 8388, 8509, 8530, 8540, 8707, 8825, 8828, 8841, 8850, 9154, 9219, 9244, 9250, 9255, 9330, 9338, 9463, 9471, 9546, 9557], '16': [6203, 6293, 6719, 6908], '2': [4362, 4858], '21': [4382, 4405, 5335], '22': [149, 170, 303, 319, 321, 583, 908, 1190, 1444, 1734, 1961, 2197, 2492, 2717, 2972, 3275, 3526, 3821, 4072, 4320, 4656, 4919, 5190, 5511, 5801, 6062, 6369, 6590, 6859, 7064, 7356, 7628, 7855, 8058, 8378, 8700, 9015, 9241, 9600, 9713, 9803, 10132, 10404, 10718, 11074, 11468, 11828, 12211, 12369], '24': [2426, 2525, 2533, 2753, 2761, 2777, 2796, 2950], '25': [3472], '26': [6513, 6571, 6629, 6751], '3': [2300, 2309, 2381, 2467], '7': [19880, 20071, 20079, 20138, 20152, 20281, 20432, 20682, 21053, 21061, 21305, 21313, 21421, 21464, 21468, 21549, 21593, 21598, 22178, 22186, 22468, 22888, 22896, 23121, 23225, 23233, 23401, 23409, 23991, 23999, 25198, 25593, 25601, 25643, 25737, 25744, 25986, 26045, 26074]}"
acmiee,1,{'7': [20133]}
acmorg,1,{'22': [318]}
acmsigkddexplornewslett,1,{'22': [12105]}
acmsigkddintern,1,{'2': [5714]}
acompar,1,{'12': [12842]}
aconsiderablepartofamodel,1,{'17': [150]}
acontrol,1,{'22': [7180]}
aconventionalfeatureselectionalgorithmsuchasreliefwithmultiplebootstrappedsamplesof,1,{'22': [5378]}
aconvexformulationforsemisupervisedmultilabelfeatur,1,{'22': [10513]}
acorrel,1,{'22': [10732]}
acoust,2,"{'21': [5728], '7': [10825]}"
acquaint,1,{'7': [4544]}
acquir,5,"{'1': [6140], '22': [663], '3': [2168, 2191], '7': [6533], '9': [849]}"
acquisi,1,"{'8': [1566, 1580, 2976]}"
acquisit,4,"{'1': [6164], '24': [212], '7': [15844], '8': [1558, 2081, 2117, 2127]}"
acquisitiondescript,1,{'8': [2089]}
acquisitionengin,1,{'8': [2093]}
acquisitionimagebas,1,{'8': [2091]}
acronym,1,"{'11': [619, 659, 1047]}"
across,11,"{'1': [475], '11': [664, 698], '12': [3372, 4433, 13117], '15': [425], '18': [1565], '21': [1560], '22': [4012, 7054, 7739], '25': [456], '3': [781], '7': [121, 922, 2578, 2734, 5540, 5563, 5575, 6513, 8774, 18723], '8': [1986]}"
acrossallclasslabelsand,1,{'22': [7184]}
acrossavarietyofbiologicalprocessthetaskofmultisourcefeatureselectioninthiscaseisfor,1,{'22': [7498]}
act,5,"{'1': [2265, 5445, 5464], '12': [2417], '2': [4029], '22': [823, 5940, 9279], '7': [719, 2958, 4182, 13559, 22713]}"
acta,1,{'7': [20858]}
acti,1,{'2': [5058]}
action,7,"{'1': [449, 2421, 3630, 3634, 3648, 3673, 3780, 4719], '16': [3941, 5116, 9497], '21': [4454], '24': [2492], '26': [7393], '3': [1572, 1653], '7': [1559, 6313, 14047, 14711, 16051, 16795, 23220]}"
activ,13,"{'1': [693, 773, 1369, 1782, 2131, 2140, 2144, 2688, 5409, 6065], '12': [8346, 12309], '13': [1373, 2165], '14': [1373, 2165], '15': [1200, 5894], '16': [1949, 1969, 1977, 1993, 2335, 2523, 2530, 2854, 2896, 2910, 2922, 3271, 4181, 4205, 5737, 6842, 8739, 9301, 9392], '2': [1421, 2029, 2978, 3383, 5877], '22': [5633, 6958, 10472, 10859], '26': [137], '3': [1322, 1334], '7': [335, 392, 920, 1438, 1554, 2768, 7578, 7607, 7635, 7639, 8706, 9844, 9847, 10112, 10133, 10149, 10215, 10291, 10348, 10359, 10602, 10766, 10806, 12988, 17024, 21388, 21864, 23569, 25319], '8': [1913, 3587], '9': [293, 2020]}"
activa,2,"{'16': [2370], '2': [2994, 3011]}"
activit,1,{'7': [68]}
actnet,1,{'22': [10858]}
actor,1,{'15': [2931]}
actual,10,"{'1': [4907], '13': [1371], '14': [1371], '16': [2225], '17': [897, 1108, 3586, 3603, 3726, 4086, 4148, 4552, 4669, 4697, 4734, 4744, 5188], '21': [3420], '25': [2072], '3': [1239, 1535], '7': [4356, 4361, 4436, 9085, 9264, 12043, 18163, 18444, 18685, 18687, 18855], '9': [402]}"
actuallearningratev,1,{'17': [4699]}
actuallr,1,"{'17': [4645, 4650]}"
actuari,1,{'7': [20260]}
acut,2,"{'26': [3674, 3679, 3683], '8': [3121, 3131, 3977, 3984, 4042]}"
acycl,1,{'7': [6786]}
ad,14,"{'12': [473], '15': [74, 557, 651, 2311, 5740], '16': [2192, 2948, 4058, 4284], '17': [5730], '18': [1315, 1383, 1390], '2': [1573, 3741, 5951], '21': [669, 779, 1088], '22': [1504, 2808, 4260, 6391, 6410, 6576, 7474, 8208, 8288, 8455, 8553], '25': [1620, 2216, 2227, 2238, 2260, 3120], '26': [2262, 2273, 2355, 5745, 5749], '3': [1473], '7': [4119, 8454, 8657, 9084, 9702, 12430, 24502], '8': [1370, 3003], '9': [2001]}"
adaboost,2,"{'15': [1277, 1285], '8': [1095]}"
adaboostalgorithm,1,{'15': [1268]}
adaboostisconsist,2,"{'13': [3871], '14': [3871]}"
adadi,1,{'7': [19814]}
adafactor,1,"{'17': [2611, 2689, 2798, 5890]}"
adalasso,2,"{'13': [752, 1129], '14': [752, 1129]}"
adalassoandolstheauthorsconsideredtwospecificationsinthefirston,2,"{'13': [2943], '14': [2943]}"
adalassoandthanusetheminarandomforestmodelthegoalistodisentangletherel,2,"{'13': [2965], '14': [2965]}"
adalassocandealwithmanymorevariablesthanobserv,2,"{'13': [768], '14': [768]}"
adalassoimprovethelassoindistinctdirect,2,"{'13': [793], '14': [793]}"
adalassorf,2,"{'13': [2957], '14': [2957]}"
adalassoweincludeasextraregressorsthedailypastvolatilityoftheotherfiveindexescon,2,"{'13': [3481], '14': [3481]}"
adam,3,"{'17': [2609, 2688, 2784, 3914, 4375, 4886], '18': [3237], '7': [24219]}"
adambeta,1,{'17': [2371]}
adamo,1,{'8': [3113]}
adampocock,1,{'22': [10482]}
adap,3,"{'1': [9357], '18': [1459], '21': [1127]}"
adapt,13,"{'1': [1142, 1156, 2176, 2211, 3352, 6455], '12': [5365, 9476], '13': [3934, 4501], '14': [3934, 4501], '15': [6587], '16': [1712], '17': [4111, 4307, 4989, 5891], '18': [227, 1422, 1503, 2340], '21': [123, 1154, 4177], '22': [7761, 7765, 8365, 10049, 10633], '25': [3296], '7': [421, 24022], '9': [1344]}"
adaptivelasso,2,"{'13': [750], '14': [750]}"
adari,1,{'16': [6526]}
add,9,"{'1': [5849], '12': [1995, 6730], '15': [2665, 3423, 3428, 3458, 3463], '16': [3370], '18': [540, 1275], '2': [3715], '21': [747], '22': [2954, 3233, 5499, 7159, 7333], '23': [521, 544]}"
addedto,1,{'22': [3144]}
addi,1,{'18': [1749]}
addisonwesley,1,{'1': [7745]}
addit,16,"{'1': [425, 1296, 2940, 5314, 7449], '12': [521, 782, 784, 793, 808, 813, 815, 817, 822, 1050, 1312, 2233, 2314, 3101, 3525, 5575, 6577, 9302, 9354, 10075, 10228, 11926, 12574], '13': [4485], '14': [4485], '15': [778, 1112, 5789], '16': [1315, 1852, 3353, 3598, 3657, 3747, 4073, 5330], '17': [58, 1849, 4888], '18': [639, 1081, 1276, 1294, 1840], '2': [1332], '21': [1248, 3985], '22': [144, 1246, 2615, 3486, 3750, 4202, 4711, 4870, 5420, 6211, 6367, 7447, 7996, 8307, 9512, 9892, 10126], '23': [654], '26': [68, 240, 575, 627, 730, 1545, 2278, 3028], '3': [1553, 1795], '7': [685, 1236, 4137, 5294, 5844, 6558, 6562, 7474, 7776, 7784, 8313, 8798, 9054, 9753, 10394, 12549, 13154, 14323, 17902, 22474, 22492, 22510, 22527, 22574, 22587, 22604, 22881], '8': [110, 1397, 1502, 1758, 2332, 2610, 2762, 2841]}"
additionalclass,1,{'1': [1339]}
additiondelet,1,{'22': [9926]}
additiontov,1,{'17': [4352]}
additivemodel,1,{'12': [4524]}
address,15,"{'1': [671, 3606, 6523, 6848], '12': [272, 343, 2609, 8223, 8929], '15': [2410, 5010], '16': [436, 2128, 2216, 2833, 6280], '17': [67, 6037], '18': [294, 783], '2': [574], '21': [287], '22': [229, 6706, 7946], '24': [393], '25': [69], '26': [1488], '7': [1107, 1167, 1927, 2013, 3729, 9756, 12036, 12072, 12667, 13190, 13373, 14549, 14931, 16280, 16813, 16972, 17769, 17776, 19498], '8': [26, 473, 2795], '9': [2276]}"
addressedbi,1,{'12': [1165]}
addressingthes,1,{'26': [1461]}
addressthi,1,{'16': [3034]}
ade,1,"{'3': [71, 80]}"
adebayo,1,"{'7': [23082, 23587, 24065]}"
adeepnnmodelisastraightforwardgeneralizationofspecif,2,"{'13': [2032], '14': [2032]}"
adel,1,{'2': [6152]}
adenot,1,{'22': [7031]}
adepart,1,{'12': [9]}
adependentsettingwa,2,"{'13': [1116], '14': [1116]}"
adequ,2,"{'12': [1750], '7': [16944]}"
adher,3,"{'11': [995], '17': [739], '9': [95, 1163, 1180, 1231, 1323, 2030, 2066]}"
adiffer,1,{'9': [748]}
aditya,1,{'7': [25962]}
adja,1,{'22': [7032]}
adjac,2,"{'21': [3114], '22': [8687]}"
adjacencymatrix,1,{'22': [6537]}
adjust,7,"{'12': [3025, 3036, 3113, 6422, 7132, 10854, 10865, 10921, 10959, 11039, 11071, 11144], '15': [2470], '16': [1652, 1659, 3695, 3711, 3721], '2': [2365], '25': [760, 1182], '7': [15247, 16259], '9': [376]}"
adjustedbytheprobabilitylawinducedbytherandomdropthisproceduresignificantlyreduc,2,"{'13': [2016], '14': [2016]}"
adjusteddata,1,{'12': [3064]}
adler,1,{'7': [22898]}
administr,3,"{'1': [7273, 7296], '12': [12534], '9': [431]}"
admiss,3,"{'11': [23, 179, 703], '8': [1792, 2512], '9': [2201]}"
admm,1,{'24': [1682]}
adopt,14,"{'1': [205, 3682, 4697], '11': [661], '12': [2443, 5110], '15': [474, 815, 1079, 2365, 2560, 2618, 3525, 4771, 4841, 4943, 5440, 6047], '17': [1414], '18': [324], '2': [750], '21': [2147, 2724, 3680, 3890], '22': [1285, 4684, 5177, 8344], '24': [1466], '25': [794], '26': [70, 1836, 1952, 3415], '3': [1782], '7': [632, 1228, 2603, 5111, 6059, 6176, 8339, 9355, 9544, 10690, 13337, 13770, 14081, 19229, 19386]}"
adoptasimilarstrategyasinthecaseofbagginghighdimensionalmodelstheideaistostart,2,"{'13': [2876], '14': [2876]}"
adopteda,1,{'15': [4657]}
adoptthechangesasdescribedinalgorithm,2,"{'13': [2786], '14': [2786]}"
ador,1,{'25': [3295]}
adriana,1,{'7': [21121]}
adrien,1,{'7': [21]}
adult,2,"{'11': [829], '9': [1731]}"
adv,1,"{'16': [7831, 8741]}"
advan,1,{'15': [5384]}
advanc,16,"{'1': [7045, 8414, 8863], '12': [7932, 8074], '13': [45], '14': [45], '15': [6359, 6683, 7273], '16': [2016, 6613], '17': [5962], '18': [76, 110, 286, 3093, 3403], '2': [4126, 4880, 5324, 5522], '21': [235, 3729], '22': [57, 1544, 10266, 10375], '24': [2440, 2646, 2815], '26': [7020, 7139], '7': [321, 2014, 8437, 12046, 12170, 19726, 19861, 20008, 20193, 20824, 21245, 22195, 22756, 22772, 22977, 23025, 23360, 23676, 23950, 24075, 24170, 24231, 25565, 25676, 26041], '8': [600, 990, 997, 1271, 1282, 3799], '9': [1976]}"
advancedheart,1,{'9': [1996]}
advantag,9,"{'1': [3699, 5209], '15': [114, 774, 1613, 1650], '16': [92, 3648], '17': [1916, 3138, 5035], '2': [380, 1949], '21': [74, 3571], '22': [285, 419, 1726, 4355, 4470, 6974, 7524, 7776, 8660], '23': [1629], '7': [24285]}"
advantageof,1,{'24': [341]}
advent,2,"{'12': [1653, 8860], '7': [8365, 18094]}"
adventur,1,{'12': [10433]}
advers,3,"{'22': [347], '7': [16950], '8': [2660]}"
adversari,5,"{'16': [7891], '2': [338, 5340], '21': [1845, 1859, 2873, 2892, 4809, 5583], '7': [712, 1204, 10907, 10913, 10931, 13412, 13573, 13592, 13619, 13666, 13700, 13715, 16214, 18479, 19434, 20325, 20336, 24746, 24995, 25019, 25034, 25075, 25088, 25635], '8': [1287]}"
adversariallib,1,{'7': [13681]}
advi,1,{'16': [3963]}
advic,2,"{'1': [1869], '7': [20737]}"
advicegiv,1,{'1': [1527]}
advis,2,"{'17': [3457], '9': [2228]}"
advisor,1,{'26': [7363]}
advoc,1,"{'7': [3191, 12892, 18037]}"
adya,2,"{'12': [4763, 11509], '15': [428, 1981, 6296, 6935]}"
adámek,2,"{'13': [3813], '14': [3813]}"
ae,3,"{'21': [2830, 2848, 2927, 2936, 2946, 2958, 2998, 3030, 3052], '7': [11318, 11337], '8': [4174]}"
aerial,2,"{'16': [5135], '25': [1252, 1338, 1351, 1976, 3053]}"
aerob,1,{'1': [2435]}
aerodyn,1,{'16': [8265]}
aeronaut,1,"{'26': [353, 7527]}"
af,3,"{'16': [2901, 2908], '22': [2085, 4298], '8': [3691]}"
afastunifiedalgorithmforsolvinggrouplassopenalizelearningproblem,2,"{'13': [4903], '14': [4903]}"
afd,1,{'16': [3422]}
afeatur,1,{'22': [11774]}
affect,11,"{'1': [334, 3408, 6417, 8087], '12': [5350], '15': [2760, 4859], '16': [6009], '21': [4219], '22': [348, 8398], '25': [425], '26': [2904, 3250], '7': [472, 2853, 2878, 2888, 2895, 2901, 3202, 3480, 4711, 6609, 10723, 15699, 16773, 22056], '8': [2661], '9': [506, 514]}"
affectedbyoverfit,2,"{'13': [2586], '14': [2586]}"
affin,1,"{'22': [1809, 1868, 1872, 1938, 2088, 2254, 2564, 7559, 7825, 7844]}"
afford,1,{'25': [235]}
aflexiblecoefficientsmoothtransitiontimeseriesmodel,2,"{'13': [4542], '14': [4542]}"
aforement,3,"{'1': [4674], '22': [1319, 4036, 5874, 6734, 9419], '7': [1340, 1373, 9908, 10395, 12413, 14580, 15769, 16072, 17699, 17933, 19415]}"
aforemention,1,{'15': [261]}
afsaelman,1,{'16': [7720]}
afshari,1,{'16': [7390]}
after,17,"{'1': [492, 3191, 3744], '11': [890], '12': [188], '13': [1368], '14': [1368], '15': [1175, 2017, 2063, 2684, 4174], '16': [1442, 2823, 4144, 5031, 9223], '17': [1044, 2129, 2158, 2165, 2227, 2266, 2288, 2295, 2317, 2330, 2501, 2528, 2544, 2665, 2753, 2850, 2946, 3296, 3347, 3668, 4046, 4360, 4414, 4460, 4672, 5142], '2': [1915, 3451], '22': [621, 2941, 7600], '23': [715], '25': [995, 2669, 2925, 2930], '26': [1414, 2183, 2354, 5121], '3': [2120], '7': [1213, 13598, 15115, 16236], '8': [504, 1795, 2510], '9': [935, 1396]}"
afterobtainingthesociallatentfactor,1,{'22': [8654]}
afterth,1,{'22': [737]}
afterthat,2,"{'13': [247], '14': [247]}"
afterthevarianceof,1,{'22': [4915]}
afterward,2,"{'17': [4816], '22': [2566]}"
afunct,2,"{'13': [1900], '14': [1900]}"
afunctionthatmapsaninput,2,"{'13': [186], '14': [186]}"
ag,1,{'26': [827]}
aga,1,{'26': [1531]}
agactiv,1,{'16': [2887]}
again,5,"{'15': [5659], '17': [3839, 4163], '23': [1589], '25': [799, 2457, 2775], '7': [3144, 3251, 3594, 4053, 6839, 8671, 14364]}"
